,2019-04-17,2019-04-18
融资融券,708.0,478.0
转融券标的,708.0,478.0
深股通,521.0,362.0
地方国资改革,469.0,299.0
沪股通,415.0,284.0
年报预增,332.0,226.0
新能源,275.0,199.0
证金持股,228.0,146.0
军工,226.0,172.0
股权转让,200.0,133.0
央企国资改革,194.0,130.0
新能源汽车,194.0,151.0
MSCI概念,181.0,121.0
锂电池,169.0,109.0
物联网,164.0,105.0
创投,154.0,89.0
5G,149.0,124.0
互联网+,141.0,88.0
独角兽概念,137.0,88.0
一带一路,137.0,102.0
文化传媒,134.0,96.0
雄安新区,133.0,81.0
MSCI预期,125.0,93.0
电子商务,124.0,86.0
PPP概念,123.0,89.0
工业4.0,120.0,74.0
白马股,119.0,86.0
新材料概念,118.0,76.0
大数据,117.0,77.0
机构重仓,115.0,83.0
机器人概念,111.0,79.0
节能环保,110.0,82.0
参股新三板,107.0,58.0
军民融合,106.0,81.0
电子信息,106.0,77.0
光伏概念,98.0,69.0
小金属概念,96.0,60.0
涉矿,94.0,66.0
高端装备,93.0,68.0
芯片概念,93.0,55.0
华为概念,92.0,65.0
虚拟现实,87.0,53.0
互联网金融,87.0,53.0
天然气,86.0,48.0
智慧城市,85.0,55.0
特斯拉,85.0,60.0
高送转,83.0,54.0
人工智能,83.0,41.0
燃料电池,82.0,72.0
智能电网,82.0,52.0
低碳,81.0,59.0
移动互联网,77.0,51.0
小额贷款,77.0,47.0
参股券商,77.0,33.0
云计算,77.0,41.0
轨道交通,74.0,51.0
医保目录,74.0,44.0
生物医药,74.0,45.0
壳资源,73.0,54.0
工业机器人,72.0,53.0
OLED,70.0,41.0
区块链,70.0,38.0
国产软件,69.0,32.0
新基建,68.0,54.0
污水处理,68.0,48.0
新股与次新股,67.0,40.0
核电,66.0,47.0
煤化工,66.0,34.0
中医药,66.0,39.0
央企控股,62.0,47.0
人民币贬值受益,61.0,37.0
融资租赁,61.0,39.0
乡村振兴,61.0,46.0
参股保险,61.0,31.0
智能家居,59.0,44.0
太阳能,59.0,40.0
节能照明,59.0,40.0
超清视频,59.0,37.0
边缘计算,59.0,39.0
集成电路概念,59.0,35.0
航天军工,58.0,54.0
工业互联网,58.0,39.0
网络游戏,58.0,39.0
抗癌,58.0,39.0
医疗器械概念,57.0,35.0
充电桩,57.0,44.0
参股民营银行,56.0,37.0
ST板块,56.0,46.0
国资驰援,56.0,36.0
智能终端,56.0,40.0
苹果概念,56.0,46.0
--,56.0,34.0
健康中国,56.0,33.0
安防,55.0,39.0
智能穿戴,55.0,37.0
广东国资改革,55.0,25.0
汽车电子,53.0,38.0
柔性屏,53.0,40.0
风电,52.0,37.0
金改,50.0,26.0
振兴东北,49.0,31.0
高铁,49.0,33.0
新零售,49.0,36.0
手机游戏,49.0,32.0
养老金持股,48.0,39.0
宁德时代概念,48.0,30.0
石墨烯,47.0,39.0
腾讯概念,47.0,28.0
元器件,47.0,34.0
汽车制造概念,47.0,30.0
氢能源,47.0,44.0
无人驾驶,47.0,32.0
无人机,46.0,38.0
上海国资改革,46.0,15.0
小米概念,45.0,35.0
车联网,45.0,29.0
科创板IPO,44.0,23.0
互联网医疗,44.0,26.0
仪电仪表,44.0,30.0
贸易战影响股,44.0,35.0
大消费,44.0,41.0
国改双百行动,44.0,28.0
老字号,43.0,28.0
智能交通,43.0,23.0
京津冀一体化,42.0,29.0
长三角一体化,42.0,25.0
央视财经50,42.0,32.0
移动支付,42.0,26.0
影视娱乐,42.0,35.0
迪士尼,42.0,24.0
美丽中国,41.0,25.0
3D打印,41.0,33.0
网络安全,40.0,31.0
玻璃,40.0,28.0
粤港澳大湾区,40.0,25.0
航空航天,39.0,32.0
在线教育,39.0,25.0
工业大麻,39.0,23.0
物联网应用层,38.0,20.0
阿里巴巴概念,38.0,27.0
养老概念,37.0,18.0
二胎概念,37.0,31.0
稀有金属,37.0,27.0
物联网感知层,37.0,26.0
固废处理,37.0,28.0
科创板预期,37.0,23.0
体育产业,36.0,22.0
循环经济,36.0,25.0
广告营销,36.0,27.0
卫星导航,36.0,25.0
医疗改革,35.0,20.0
智能医疗,35.0,20.0
稀缺资源,35.0,26.0
创新药,35.0,27.0
成渝特区,35.0,30.0
纳米,34.0,22.0
职业教育,34.0,23.0
中字头股票,33.0,28.0
跨境电商,33.0,21.0
锂电制造,33.0,25.0
债转股,33.0,18.0
兜底增持,33.0,25.0
土地流转,32.0,19.0
页岩气,32.0,20.0
光纤,32.0,31.0
家用电器,32.0,35.0
分布式发电,32.0,23.0
新能源整车,32.0,24.0
稀土永磁,31.0,21.0
流感,31.0,18.0
国产航母,31.0,29.0
基因测序,31.0,21.0
上海自贸区,31.0,11.0
环渤海,30.0,18.0
民营医院,30.0,18.0
海洋经济,30.0,21.0
新型城镇化,29.0,18.0
蚂蚁金服概念,29.0,16.0
商誉减值,29.0,24.0
互联网平台,29.0,16.0
北京国资改革,29.0,21.0
供应链金融,29.0,18.0
保障房,29.0,22.0
TMT,29.0,18.0
智能汽车,28.0,20.0
消费电子,28.0,22.0
大飞机,28.0,27.0
地下管网,28.0,17.0
村镇银行,28.0,19.0
贸易战受益股,28.0,25.0
智能物流,28.0,17.0
新疆振兴,27.0,24.0
生态农业,27.0,22.0
棉,27.0,19.0
外贸,27.0,15.0
海南自贸区,27.0,12.0
动漫,27.0,17.0
铁路基建,27.0,18.0
能源互联网,26.0,19.0
有色铝,26.0,18.0
收入改革,26.0,19.0
储能,26.0,20.0
滨海新区,26.0,17.0
宽带中国,26.0,25.0
电力改革,26.0,21.0
富士康概念,26.0,24.0
