,2019-04-17,2019-04-18
融资融券,60.0,35.0
转融券标的,60.0,35.0
新能源,50.0,31.0
地方国资改革,50.0,33.0
燃料电池,39.0,22.0
深股通,36.0,24.0
新能源汽车,36.0,24.0
年报预增,32.0,24.0
股权转让,28.0,19.0
5G,27.0,25.0
央企国资改革,26.0,15.0
锂电池,25.0,22.0
沪股通,24.0,27.0
ST板块,23.0,4.0
证金持股,23.0,10.0
军工,21.0,14.0
氢能源,18.0,16.0
华为概念,17.0,8.0
物联网,16.0,16.0
PPP概念,15.0,8.0
电子信息,15.0,16.0
壳资源,15.0,7.0
机器人概念,15.0,11.0
节能环保,14.0,12.0
光伏概念,14.0,10.0
MSCI概念,14.0,6.0
一带一路,14.0,10.0
轨道交通,13.0,5.0
天然气,13.0,9.0
互联网+,13.0,7.0
涉矿,13.0,8.0
汽车制造概念,13.0,7.0
融资租赁,12.0,7.0
工业4.0,12.0,3.0
创投,12.0,8.0
文化传媒,12.0,14.0
军民融合,11.0,7.0
振兴东北,11.0,3.0
智慧城市,11.0,6.0
雄安新区,11.0,4.0
特斯拉,11.0,6.0
新能源整车,11.0,7.0
新材料概念,10.0,12.0
新基建,10.0,8.0
充电桩,10.0,4.0
独角兽概念,10.0,11.0
机构重仓,10.0,6.0
智能电网,10.0,10.0
移动互联网,9.0,9.0
小金属概念,9.0,6.0
低碳,9.0,5.0
元器件,9.0,3.0
边缘计算,9.0,8.0
白马股,9.0,5.0
无人驾驶,9.0,6.0
养老概念,8.0,2.0
智能终端,8.0,3.0
节能照明,8.0,2.0
无人机,8.0,1.0
工业机器人,8.0,6.0
虚拟现实,8.0,5.0
电子商务,8.0,11.0
污水处理,8.0,6.0
智能家居,7.0,5.0
大数据,7.0,9.0
高端装备,7.0,8.0
苹果概念,7.0,6.0
风电,7.0,7.0
智能穿戴,7.0,3.0
玻璃,7.0,0.0
锂电制造,7.0,6.0
参股新三板,7.0,3.0
宁德时代概念,7.0,3.0
华为汽车,7.0,3.0
新股与次新股,7.0,3.0
互联网金融,7.0,6.0
固废处理,7.0,4.0
中朝贸易区,7.0,4.0
芯片概念,7.0,5.0
车联网,7.0,3.0
小米概念,6.0,4.0
核电,6.0,2.0
航天军工,6.0,1.0
互联网医疗,6.0,4.0
医保目录,6.0,3.0
东盟北部湾,6.0,3.0
优先股概念,6.0,0.0
智能汽车,6.0,3.0
移动支付,6.0,3.0
煤化工,6.0,6.0
乡村振兴,6.0,4.0
稀有金属,6.0,2.0
健康中国,6.0,4.0
智能交通,6.0,4.0
节能电机,6.0,2.0
参股保险,6.0,5.0
兜底增持,6.0,4.0
粤港澳大湾区,6.0,2.0
人民币贬值受益,5.0,5.0
央企控股,5.0,3.0
土地流转,5.0,1.0
能源互联网,5.0,3.0
太阳能,5.0,7.0
国资驰援,5.0,4.0
共享汽车,5.0,3.0
工业互联网,5.0,4.0
稀土永磁,5.0,3.0
高铁,5.0,0.0
合同能源管理,5.0,1.0
通信基站,5.0,4.0
小额贷款,5.0,8.0
宽带中国,5.0,7.0
猪肉,5.0,8.0
长三角一体化,5.0,1.0
新能源物流车,5.0,3.0
新零售,5.0,2.0
广告营销,5.0,5.0
浙江国资改革,5.0,2.0
高送转,5.0,5.0
腾讯概念,5.0,6.0
商誉减值,5.0,2.0
智能医疗,5.0,1.0
纳米,5.0,5.0
共享经济,5.0,3.0
稀缺资源,5.0,2.0
电机电控,5.0,2.0
云南国资改革,5.0,3.0
手机游戏,5.0,4.0
集成电路概念,5.0,2.0
分布式发电,5.0,2.0
北汽新能源,5.0,1.0
福建自贸区,5.0,5.0
云计算,5.0,6.0
职业教育,5.0,4.0
在线教育,5.0,2.0
人工智能,5.0,7.0
林场改革,5.0,2.0
工业大麻,5.0,5.0
汽车电子,4.0,1.0
仪电仪表,4.0,4.0
养老金持股,4.0,3.0
光通信设备,4.0,4.0
储能,4.0,2.0
新型城镇化,4.0,0.0
美丽中国,4.0,2.0
P2P概念,4.0,2.0
超清视频,4.0,3.0
物流骨干网,4.0,2.0
安防,4.0,5.0
国家科技大会,4.0,3.0
页岩气,4.0,3.0
央视财经50,4.0,3.0
两会,4.0,3.0
铀矿,4.0,2.0
跨境电商,4.0,2.0
富士康概念,4.0,4.0
锌,4.0,0.0
生态农业,4.0,6.0
消费电子,4.0,4.0
网络游戏,4.0,3.0
影视娱乐,4.0,7.0
民营医院,4.0,4.0
地热能,4.0,2.0
光纤,4.0,10.0
成渝特区,4.0,5.0
物联网感知层,4.0,4.0
债转股,4.0,1.0
海峡西岸,4.0,3.0
贸易战受益股,4.0,2.0
家用电器,4.0,2.0
抗癌,4.0,2.0
国产软件,4.0,4.0
无线充电,4.0,2.0
柔性屏,4.0,4.0
广东国资改革,4.0,3.0
3D玻璃,4.0,3.0
TMT,4.0,6.0
生物疫苗,3.0,1.0
汽车电商,3.0,1.0
网约车,3.0,2.0
OLED,3.0,2.0
饲料,3.0,5.0
余热发电,3.0,1.0
基站射频,3.0,1.0
网络安全,3.0,4.0
体育产业,3.0,3.0
金改,3.0,5.0
全息手机,3.0,0.0
锌电池,3.0,0.0
通用航空,3.0,2.0
金融IC,3.0,0.0
滨海新区,3.0,1.0
阿里巴巴概念,3.0,3.0
纤维板,3.0,1.0
垃圾发电,3.0,1.0
VR设备,3.0,2.0
吉林国资改革,3.0,0.0
芯片设计,3.0,1.0
特色小镇,3.0,1.0
贸易战影响股,3.0,2.0
医疗器械概念,3.0,1.0
平潭免税区,3.0,3.0
园林开发,3.0,4.0
转基因,3.0,1.0
养老地产,3.0,1.0
造纸转暖,3.0,1.0
服务机器人,3.0,2.0
冷链物流,3.0,2.0
绿色轮胎,3.0,0.0
LNG加气站,3.0,3.0
舟山新区,3.0,0.0
动力电池回收,3.0,2.0
装配式建筑,3.0,1.0
地下管网,3.0,2.0
村镇银行,3.0,1.0
杭州湾大湾区,3.0,0.0
互联网平台,3.0,2.0
中医药,3.0,4.0
--,3.0,3.0
参股券商,3.0,4.0
湖南国资改革,3.0,2.0
迪士尼,3.0,0.0
北京国资改革,3.0,4.0
百度概念,3.0,2.0
台湾概念股,3.0,6.0
航运港口,3.0,0.0
外贸,3.0,1.0
三网融合,3.0,1.0
锂电原料,3.0,1.0
量子通信,3.0,6.0
智能物流,3.0,0.0
海南自贸区,3.0,2.0
