股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,上市天数,技术形态
600519.SH,贵州茅台,951.0,974.95,981.22,949.2,4885205.0,2.71,954.84,940.83,892.72,855.32,789.62,5.63,1011.63,892.72,773.80,82.89,82.51,83.64,1224730050000.0,食品饮料-饮料制造-白酒,春节概念;超级品牌;收入改革;MSCI概念;老字号;大消费;央视财经50;黔中经济区;融资融券;沪股通;转融券标的;贵州国资改革;地方国资改革;白酒概念,6448,价升量涨||缩量||阳线
000661.SZ,长春高新,299.68,299.85,303.6,298.8,1040165.0,0.02,304.04,303.72,305.93,300.17,251.24,-7.63,322.11,305.93,289.74,33.85,38.14,25.27,50976853000.0,医药生物-生物制品-生物制品Ⅲ,兽药;振兴东北;生物医药;参股新三板;中朝贸易区;霍乱;手足口病疫苗;不孕不育;抗艾滋病;狂犬病;融资融券;儿童医药医疗;深股通;二胎概念;转融券标的;创新药;医保目录;生物疫苗;吉林国资改革;地方国资改革;MSCI预期;证金持股,8161,价升量缩||缩量||阳线
603444.SH,吉比特,225.68,219.04,225.68,216.58,854097.0,-3.17,223.71,223.11,214.36,210.13,185.87,-1.69,236.69,214.36,192.03,42.66,50.51,26.96,9100482500.0,信息服务-传媒-其他传媒,沪股通;网络游戏;白马股;手机游戏;养老金持股,839,缩量||月线长下影线||旗形
300751.SZ,迈为股份,179.79,183.0,186.5,179.02,407520.0,1.9,181.82,177.71,174.69,173.49,171.35,1.52,189.85,174.69,159.54,73.67,66.61,87.79,2379000000.0,机械设备-电气设备-电源设备,新股与次新股;太阳能;光伏概念;长三角一体化,165,价升量涨||缩量||阳线
300747.SZ,锐科激光,148.7,148.01,149.6,144.88,1396308.0,-0.67,153.10,154.56,163.81,168.82,155.31,-4.95,185.48,163.81,142.15,20.23,21.62,17.46,4736320000.0,电子-其他电子-其他电子Ⅲ,光纤光缆;新股与次新股;5G;国产替代;光纤;激光器;央企国资改革;深股通;高送转,302,缩量||价跌量缩||回调缩量
603160.SH,汇顶科技,131.3,127.3,133.38,126.71,4634899.0,-4.64,130.63,120.24,111.99,108.05,95.57,4.24,137.30,111.99,86.67,82.22,79.23,88.2,29482118000.0,电子-半导体及元件-集成电路,人工智能;智能家居;国家大基金持股;AI芯片;沪股通;物联网;全面屏;芯片概念;人机交互;小米概念;人脸识别;屏下指纹技术;指纹技术;芯片设计;集成电路概念;华为概念;机构重仓;白马股,918,放量||月线长下影线||旗形
300760.SZ,迈瑞医疗,128.13,131.05,132.44,127.8,3417965.0,2.38,128.35,128.22,129.82,130.03,123.34,-0.86,135.19,129.82,124.44,55.38,40.41,85.32,15935680000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;医学影像;独角兽概念;新股与次新股;医疗器械概念;深股通;MSCI预期,189,价升量涨||放量||阳线
002916.SZ,深南电路,124.01,121.22,126.5,119.58,4002662.0,-2.56,123.71,121.45,122.21,121.72,113.87,-0.75,132.01,122.21,112.40,60.27,59.25,62.31,9960493900.0,电子-半导体及元件-印制电路板,存储芯片;富士康概念;芯片概念;5G;深股通;通信基站;芯片封装测试;集成电路概念;苹果概念;中航系;华为概念;央企国资改革;年报预增;MSCI预期,496,放量||月线长下影线||阴线
002304.SZ,洋河股份,121.5,121.77,123.32,119.27,8044914.0,0.23,121.71,121.90,122.41,120.01,113.38,-1.3,130.36,122.41,114.47,41.94,40.88,44.05,151488190000.0,食品饮料-饮料制造-白酒,MSCI概念;超级品牌;老字号;大消费;融资融券;深股通;转融券标的;地方国资改革;白酒概念;科创板IPO,3455,价升量缩||缩量||阳线
603833.SH,欧派家居,116.77,118.23,119.75,116.4,1052415.0,1.43,120.17,120.78,121.13,115.95,105.29,-2.65,126.95,121.13,115.32,37.76,43.08,27.13,10889945700.0,轻工制造-家用轻工-家具,沪股通;白马股;全屋定制;大消费;MSCI概念,756,价升量缩||缩量||阳线
600436.SH,片仔癀,115.38,116.25,117.1,113.58,4275527.0,-0.22,116.91,117.52,116.38,113.16,105.97,-1.43,122.56,116.38,110.19,25.74,30.41,16.41,70135626000.0,医药生物-中药-中药Ⅲ,抗癌;登革热;多肽药;海峡西岸;老字号;融资融券;沪股通;转融券标的;中医药;健康中国;MSCI概念;冬虫夏草;地方国资改革;保健品;证金持股,5790,缩量||阳线||回调缩量
000596.SZ,古井贡酒,109.68,110.83,112.08,109.01,1304120.0,0.95,110.11,107.35,107.05,102.48,87.38,-1.18,113.95,107.05,100.14,62.63,54.61,78.66,42514388000.0,食品饮料-饮料制造-白酒,大消费;参股券商;鸡尾酒;老字号;融资融券;深股通;转融券标的;B转H;央视财经50;安徽国资改革;地方国资改革;白酒概念;MSCI预期,8243,价升量缩||缩量||阳线
300769.SZ,德方纳米,106.59,106.59,106.59,106.59,77000.0,10.0,88.89,--,--,--,--,9.49,--,--,--,0.0,0.0,0.0,1139447100.0,化工-化学制品-其他化学制品,新股与次新股,8,价升量涨||尖三兵||阶段放量
603383.SH,顶点软件,103.0,102.78,107.3,99.0,2771781.0,-3.37,107.56,109.74,105.45,97.90,72.64,-4.87,126.29,105.45,84.61,22.3,31.91,3.07,5962999600.0,信息服务-计算机应用-软件开发及服务,国产软件;金融科技;数字中国;互联网金融,701,缩量||回调缩量||阴线
300628.SZ,亿联网络,102.0,99.56,102.49,99.01,1589502.0,-0.74,101.68,98.69,97.47,97.88,91.28,0.56,104.51,97.47,90.44,58.25,60.88,52.97,7435140800.0,信息设备-通信设备-终端设备,云通信;深股通;白马股;MSCI预期;超清视频,767,放量||价跌量缩||月线长下影线
300613.SZ,富瀚微,101.6,100.14,101.6,100.14,238600.0,-1.15,102.63,103.52,106.04,107.86,105.59,-1.45,112.32,106.04,99.76,17.81,23.96,5.51,1296262230.0,电子-半导体及元件-集成电路,AI芯片;芯片设计;人工智能;安防;芯片概念;集成电路概念;超清视频,792,缩量||价跌量缩||回调缩量
002912.SZ,中新赛克,101.2,99.15,101.92,97.53,1791017.0,-3.97,101.87,103.13,108.03,110.82,103.99,-2.47,120.34,108.03,95.72,30.41,30.49,30.24,5043007000.0,信息设备-计算机设备-计算机设备Ⅲ,国产软件;5G;深股通;深圳国资改革;广东国资改革;地方国资改革;大数据;网络安全;养老金持股,518,放量||价跌量缩||阴线
300454.SZ,深信服,100.78,99.84,101.8,98.56,577864.0,-1.68,99.46,98.31,99.88,100.48,95.94,-0.12,105.26,99.88,94.51,69.2,54.49,98.6,3994598400.0,信息服务-计算机应用-软件开发及服务,新股与次新股;云计算;网络安全;深股通;态势感知,342,缩量||价跌量缩||月线长下影线
300033.SZ,同花顺,100.61,102.44,105.92,98.8,12332886.0,0.37,104.49,107.16,108.76,102.17,81.36,-5.75,129.94,108.76,87.57,17.97,22.87,8.16,27075133000.0,信息服务-计算机应用-软件开发及服务,基金三方销售;金融信息服务;大数据;融资融券;机器人概念;电子信息;电子商务;移动互联网;金融科技;深股通;服务机器人;转融券标的;智能金融;人工智能;互联网+;MSCI预期;互联网金融;国产软件,3406,价升量涨||缩量||阳线
000858.SZ,五粮液,100.6,104.31,106.5,100.5,52179397.0,3.15,102.61,102.23,99.02,93.34,80.03,-1.55,111.45,99.02,86.59,51.8,50.0,55.41,395936600000.0,食品饮料-饮料制造-白酒,P2P概念;春节概念;MSCI概念;收入改革;成渝特区;老字号;循环经济;融资融券;深股通;转融券标的;超级品牌;地方国资改革;大消费;白酒概念,7666,价升量涨||放量||阳线
603986.SH,兆易创新,100.0,100.3,103.25,99.23,4094123.0,0.19,100.26,101.77,103.63,103.72,92.35,-2.8,114.45,103.63,92.81,26.24,27.24,24.22,20801937000.0,电子-半导体及元件-集成电路,汽车电子;国家大基金持股;存储芯片;芯片制造;芯片设计;芯片概念;AI芯片;人工智能;内存;MCU;集成电路概念;物联网;沪股通;超清视频,978,价升量缩||缩量||阳线
002821.SZ,凯莱英,96.8,93.18,96.99,91.76,3104607.0,-0.56,92.44,89.77,89.58,90.81,85.16,0.76,94.71,89.58,84.45,70.08,58.27,93.69,11399715400.0,医药生物-化学制药-化学原料药,生物医药;抗癌;深股通;创新药,886,放量||月线长下影线||阴线
300725.SZ,药石科技,92.68,89.0,93.97,88.8,1595973.0,-4.61,92.71,93.45,95.32,96.29,84.17,-2.58,102.50,95.32,88.15,16.77,22.46,5.39,6169514800.0,医药生物-化学制药-化学原料药,生物医药;深股通;创新药;年报预增,529,缩量||回调缩量||阴线
603039.SH,泛微网络,91.31,92.8,94.83,90.63,453640.0,1.45,93.21,92.74,96.86,96.37,89.76,-2.05,107.35,96.86,86.38,40.97,33.17,56.58,3702794200.0,信息服务-计算机应用-软件开发及服务,国产软件;沪股通,830,价升量涨||缩量||阳线
000538.SZ,云南白药,91.21,90.8,91.83,90.61,4905554.0,-1.11,90.76,90.80,88.21,87.21,85.07,0.21,94.76,88.21,81.67,41.95,43.54,38.77,94558433000.0,医药生物-中药-中药Ⅲ,参股券商;医疗改革;老龄化;大消费;超级品牌;融资融券;深股通;中医药;转融券标的;央视财经50;健康中国;老字号;医保目录;MSCI概念;机构重仓,9260,缩量||价跌量缩||月线长下影线
