,2019-04-17,2019-04-18
新能源,110.0,30.0
融资融券,109.0,61.0
转融券标的,109.0,61.0
新能源汽车,89.0,23.0
深股通,88.0,44.0
地方国资改革,74.0,42.0
沪股通,69.0,37.0
锂电池,63.0,21.0
燃料电池,59.0,22.0
股权转让,48.0,22.0
年报预增,47.0,36.0
氢能源,38.0,21.0
军工,34.0,30.0
汽车制造概念,33.0,6.0
证金持股,32.0,24.0
ST板块,30.0,10.0
节能环保,29.0,22.0
机器人概念,29.0,12.0
央企国资改革,28.0,25.0
特斯拉,28.0,9.0
新能源整车,27.0,6.0
新材料概念,26.0,17.0
文化传媒,26.0,18.0
光伏概念,26.0,15.0
互联网+,25.0,12.0
工业4.0,24.0,4.0
PPP概念,23.0,17.0
物联网,23.0,13.0
独角兽概念,23.0,11.0
天然气,21.0,11.0
创投,21.0,10.0
MSCI概念,21.0,10.0
融资租赁,20.0,8.0
工业机器人,20.0,7.0
白马股,20.0,11.0
无人驾驶,20.0,4.0
工业大麻,20.0,6.0
高端装备,19.0,16.0
MSCI预期,19.0,12.0
一带一路,19.0,23.0
壳资源,19.0,12.0
智能电网,19.0,11.0
华为概念,18.0,7.0
电子商务,18.0,14.0
参股新三板,18.0,7.0
机构重仓,18.0,7.0
OLED,17.0,3.0
小金属概念,17.0,7.0
新基建,17.0,10.0
涉矿,17.0,9.0
污水处理,17.0,9.0
宁德时代概念,17.0,5.0
军民融合,16.0,15.0
振兴东北,16.0,5.0
虚拟现实,16.0,4.0
雄安新区,16.0,6.0
5G,16.0,22.0
大数据,15.0,11.0
小额贷款,15.0,6.0
苹果概念,15.0,7.0
电子信息,15.0,16.0
智能穿戴,15.0,2.0
互联网金融,15.0,11.0
汽车电子,14.0,1.0
医保目录,14.0,9.0
猪肉,14.0,5.0
商誉减值,14.0,3.0
风电,14.0,11.0
充电桩,14.0,4.0
锂电制造,14.0,3.0
新股与次新股,14.0,11.0
车联网,14.0,1.0
储能,13.0,2.0
节能照明,13.0,1.0
低碳,13.0,5.0
高送转,13.0,9.0
元器件,13.0,5.0
中医药,13.0,4.0
玻璃,13.0,6.0
正极材料,13.0,3.0
航天军工,12.0,4.0
太阳能,12.0,11.0
仪电仪表,12.0,5.0
超清视频,12.0,3.0
智能汽车,12.0,3.0
参股保险,12.0,5.0
抗癌,12.0,4.0
智能家居,11.0,7.0
核电,11.0,6.0
国资驰援,11.0,5.0
轨道交通,11.0,7.0
高铁,11.0,0.0
生物医药,11.0,12.0
东盟北部湾,11.0,5.0
石墨烯,11.0,8.0
网络游戏,11.0,4.0
煤化工,11.0,7.0
乡村振兴,11.0,9.0
智慧城市,11.0,1.0
手机游戏,11.0,6.0
北汽新能源,11.0,2.0
固废处理,11.0,8.0
移动互联网,10.0,8.0
养老概念,10.0,0.0
饲料,10.0,5.0
工业互联网,10.0,5.0
区块链,10.0,8.0
长三角一体化,10.0,5.0
影视娱乐,10.0,8.0
动力电池回收,10.0,2.0
电机电控,10.0,2.0
柔性屏,10.0,7.0
中朝贸易区,10.0,2.0
小米概念,9.0,4.0
智能终端,9.0,2.0
无人机,9.0,2.0
生态农业,9.0,5.0
超级电容,9.0,4.0
健康中国,9.0,2.0
分布式发电,9.0,3.0
3D玻璃,9.0,3.0
人工智能,9.0,5.0
人民币贬值受益,8.0,3.0
央企控股,8.0,8.0
能源互联网,8.0,3.0
互联网医疗,8.0,4.0
合同能源管理,8.0,0.0
流感,8.0,4.0
安防,8.0,5.0
页岩气,8.0,4.0
新零售,8.0,6.0
跨境电商,8.0,4.0
贸易战影响股,8.0,6.0
纳米,8.0,2.0
移动支付,8.0,3.0
LNG加气站,8.0,3.0
送转填权,8.0,2.0
迪士尼,8.0,1.0
债转股,8.0,5.0
贸易战受益股,8.0,3.0
福建自贸区,8.0,5.0
蓝宝石,8.0,6.0
锂电隔膜,7.0,4.0
土地流转,7.0,1.0
体育产业,7.0,1.0
稀土永磁,7.0,2.0
土壤修复,7.0,2.0
PM2.5,7.0,6.0
垃圾发电,7.0,3.0
两会,7.0,4.0
循环经济,7.0,3.0
扶贫开发,7.0,2.0
二胎概念,7.0,7.0
医疗器械概念,7.0,2.0
广告营销,7.0,6.0
智能医疗,7.0,3.0
造纸转暖,7.0,2.0
消费电子,7.0,3.0
民营医院,7.0,4.0
边缘计算,7.0,5.0
参股券商,7.0,5.0
稀缺资源,7.0,4.0
百度概念,7.0,1.0
节能电机,7.0,1.0
集成电路概念,7.0,4.0
华为汽车,7.0,2.0
兜底增持,7.0,7.0
沪台通,7.0,0.0
网约车,6.0,2.0
共享汽车,6.0,2.0
养老金持股,6.0,4.0
金改,6.0,6.0
新疆振兴,6.0,7.0
美丽中国,6.0,3.0
医疗改革,6.0,3.0
物流骨干网,6.0,2.0
京津冀一体化,6.0,1.0
禽流感,6.0,3.0
VR设备,6.0,0.0
生物质能,6.0,1.0
腾讯概念,6.0,5.0
富士康概念,6.0,7.0
多晶硅,6.0,3.0
