股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,买入信号,技术形态,上市天数
600519.SH,贵州茅台,945.41,945.5,954.68,936.22,1959852.0,-0.68,931.68,920.18,866.65,834.25,775.50,9.37,992.25,866.65,741.04,85.28,83.53,88.78,1187735020000.0,食品饮料-饮料制造-白酒,春节概念;收入改革;MSCI概念;超级品牌;老字号;大消费;央视财经50;黔中经济区;融资融券;沪股通;转融券标的;贵州国资改革;地方国资改革;白酒概念,月线macd金叉,缩量||阳线||价跌量缩,6443
000661.SZ,长春高新,302.1,309.51,310.0,300.0,1862861.0,3.24,301.98,304.87,304.47,296.72,244.89,-7.89,322.48,304.47,286.46,40.69,35.19,51.68,52619128000.0,医药生物-生物制品-生物制品Ⅲ,兽药;振兴东北;霍乱;生物医药;参股新三板;不孕不育;中朝贸易区;手足口病疫苗;抗艾滋病;狂犬病;融资融券;儿童医药医疗;深股通;二胎概念;转融券标的;创新药;医保目录;生物疫苗;吉林国资改革;地方国资改革;MSCI预期;证金持股,行情收盘价上穿5日||kdj金叉||boll突破中轨,价升量涨||缩量||阳线,8156
603444.SH,吉比特,219.8,226.77,228.5,218.07,1100892.0,2.05,220.45,218.34,212.58,205.50,182.75,-0.37,233.61,212.58,191.54,55.2,55.71,54.16,9353856600.0,信息服务-传媒-其他传媒,沪股通;网络游戏;白马股;手机游戏;养老金持股,行情收盘价上穿5日||skdj金叉||rsi金叉,放量||价升量缩||阳线,834
300751.SZ,迈为股份,181.05,181.2,183.0,177.06,259051.0,0.11,177.44,174.84,172.85,172.19,169.42,1.19,186.98,172.85,158.73,63.68,53.5,84.05,2355600000.0,机械设备-电气设备-电源设备,新股与次新股;太阳能;光伏概念;长三角一体化,月线skdj超卖||月线kdj超卖||月线kdj低位钝化,底部吸筹||价升量缩||缩量,160
300747.SZ,锐科激光,157.0,156.9,158.36,155.2,1253798.0,1.11,156.03,160.03,168.06,171.02,154.31,-5.51,189.23,168.06,146.89,21.39,19.31,25.57,5020800000.0,电子-其他电子-其他电子Ⅲ,光纤光缆;新股与次新股;5G;国产替代;光纤;激光器;央企国资改革;深股通;高送转,行情收盘价上穿5日||kdj金叉||lwr买入信号,价升量缩||缩量||月线长下影线,297
603160.SH,汇顶科技,127.9,133.0,136.36,127.61,4888938.0,4.27,121.98,111.74,107.64,104.59,92.70,5.08,127.57,107.64,87.70,81.4,68.52,107.15,30802213000.0,电子-半导体及元件-集成电路,人工智能;智能家居;国家大基金持股;AI芯片;沪股通;物联网;全面屏;芯片概念;人机交互;小米概念;人脸识别;屏下指纹技术;指纹技术;芯片设计;集成电路概念;华为概念;机构重仓;白马股,月线boll突破上轨||月线cr金叉||周线boll突破上轨,放量||价升量缩||阳线,913
300760.SZ,迈瑞医疗,127.6,127.0,128.0,126.9,912730.0,-0.6,127.15,128.61,129.87,129.93,122.33,-2.0,135.20,129.87,124.54,29.63,25.37,38.15,15443200000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;医学影像;独角兽概念;新股与次新股;医疗器械概念;深股通;MSCI预期,月线skdj超卖||月线kdj超卖||月线kdj低位钝化,缩量||价跌量缩||回调缩量,184
002916.SZ,深南电路,123.5,123.53,126.98,122.75,2679122.0,-0.15,120.85,121.53,121.57,121.37,112.18,-1.11,131.34,121.57,111.80,58.19,47.11,80.36,10150303700.0,电子-半导体及元件-印制电路板,存储芯片;富士康概念;芯片概念;5G;深股通;通信基站;芯片封装测试;集成电路概念;苹果概念;中航系;华为概念;央企国资改革;年报预增;MSCI预期,周线cr金叉||周线行情收盘价上穿5日,缩量||阳线||价跌量缩,491
603833.SH,欧派家居,122.25,123.76,127.0,120.0,947240.0,2.03,121.08,121.79,119.86,114.32,103.81,-1.56,130.03,119.86,109.69,52.96,49.49,59.89,11399303800.0,轻工制造-家用轻工-家具,沪股通;白马股;全屋定制;大消费;MSCI概念,kdj金叉||cr金叉||月线macd金叉,价升量涨||缩量||阳线,751
002304.SZ,洋河股份,119.98,121.99,123.5,119.13,8675755.0,1.57,120.90,122.36,121.67,119.16,112.25,-1.64,130.68,121.67,112.66,35.75,38.63,29.97,151761880000.0,食品饮料-饮料制造-白酒,MSCI概念;大消费;老字号;超级品牌;融资融券;深股通;转融券标的;地方国资改革;白酒概念;科创板IPO,行情收盘价上穿5日||skdj金叉||cr金叉,价升量缩||缩量||阳线,3450
600436.SH,片仔癀,118.54,116.6,118.98,116.0,2465103.0,-1.25,117.24,118.16,115.15,111.76,104.59,-1.01,123.62,115.15,106.67,29.61,42.32,4.18,70346787000.0,医药生物-中药-中药Ⅲ,登革热;抗癌;多肽药;海峡西岸;老字号;融资融券;沪股通;转融券标的;中医药;健康中国;MSCI概念;冬虫夏草;地方国资改革;保健品;证金持股,wr超卖||月线cci买入信号,缩量||价跌量缩||回调缩量,5785
